,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,event_uuid,visible_area,freeze_frame
0,,,,,,,,,,,,,,,,True,Incomplete,True,,,0.0,,,,,,,,,,,,,,,e33c1d27-f948-4f32-b69f-c8137650aa06,1158,,"[113.0, 10.4]",3869685,35,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,51,France,771,['5c853325-e83d-4ab9-a29a-50570b85843d'],4,,,,,,,,,,,,,,,,,France,771,00:35:04.248,Dribble,True,e33c1d27-f948-4f32-b69f-c8137650aa06,"[111.879025361644, 80.0, 80.9060385896191, 6.95005768916612, 90.5293200728046, 0.0, 108.826368890697, 0.0, 120.0, 12.1598067567147, 120.0, 80.0, 111.879025361644, 80.0]","[{'teammate': False, 'actor': False, 'keeper': False, 'location': [86.23972763497568, 15.295040303985964]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [89.75274945763812, 26.340245785915485]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [96.64456839266741, 13.266308746401364]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [101.09447423936388, 48.71574094379066]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [102.01694959420524, 24.77658479604247]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [102.54298622793442, 8.614274445091297]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [103.82390828048392, 14.094288395636625]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [104.38011872972413, 32.83398986685061]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [107.7149670980499, 11.583623124424108]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [108.46903270110597, 33.15554862104263]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [112.24822500043231, 9.483546177168108]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [113.0, 10.399999618530273]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [117.41292003563463, 34.449170782851326]}]"
1,,,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,2a8aab74-c7eb-45cb-951b-e19af371f0a1,1934,,"[56.7, 3.1]",3869685,49,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kylian Mbappé Lottin,3009.0,Center Forward,91,France,771,['87441505-263b-4a06-944c-dc1a8e510eb1'],3,,,,,,,,,,,,,,,,,France,771,00:04:03.984,Dribble,True,2a8aab74-c7eb-45cb-951b-e19af371f0a1,"[45.7953597845837, 60.3697562496524, 33.1424973027086, 0.0, 85.5231384484882, 0.0, 70.4663518262322, 60.7377436280735, 45.7953597845837, 60.3697562496524]","[{'teammate': False, 'actor': False, 'keeper': False, 'location': [44.362847575575174, 30.913264999749103]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [47.08990277805566, 10.780529497569557]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [48.400196600278626, 54.695070278910116]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [51.77314260807806, 13.819194379608863]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [55.19381841342397, 18.618562376576477]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [56.33656850692275, 5.613296626881002]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [56.70000076293945, 3.099999904632568]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [59.70053429833443, 55.7086751809497]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [59.82449294443965, 31.754947932977686]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [66.70665626586366, 14.12858943667159]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [67.99593128602218, 5.168735513472427]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [68.28827642707499, 1.976415177093592]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [69.37939441739005, 53.45562404794089]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [72.36227398930936, 26.21574039641277]}]"
2,,,,,,,,,,,,,,,,,Complete,True,,,0.0,,,,,,,,,,,,,,,225e6541-e9ca-4096-a1e4-e69e17a0b7be,1938,,"[79.4, 11.9]",3869685,49,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kylian Mbappé Lottin,3009.0,Center Forward,91,France,771,['4e1e342b-ba2f-4721-9ad5-4bb250ee12bd'],7,,,,,,,,,,,,,,,,,France,771,00:04:07.804,Dribble,True,225e6541-e9ca-4096-a1e4-e69e17a0b7be,"[88.9526633527478, 69.6441283450642, 63.8031780776321, 62.3028235336843, 67.4678525292322, 0.0, 120.0, 0.0, 120.0, 6.8467085839501, 88.9526633527478, 69.6441283450642]","[{'teammate': False, 'actor': False, 'keeper': False, 'location': [74.40288537011027, 8.462466761862341]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [79.4000015258789, 11.899999618530273]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [79.58424778921693, 16.61825194585286]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [81.85906889242229, 16.33585533298115]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [83.04447907081052, 20.586214627670998]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [84.0887438905773, 51.94585508497609]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [86.67680125097822, 49.05724270203531]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [87.4734382272163, 4.027502328225129]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [87.84259301337723, 28.329451894701204]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [92.71131317023439, 16.27069925719995]}]"
3,,,,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,,,aebf3121-de4e-4b87-a20a-a2d0b8553b75,2012,,"[117.7, 62.0]",3869685,50,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kylian Mbappé Lottin,3009.0,Center Forward,94,Argentina,779,['3bbf80df-d22f-43fa-9019-fe253b4b6e60'],36,,,,,,,,,,,,,,,,,France,771,00:05:36.811,Dribble,True,aebf3121-de4e-4b87-a20a-a2d0b8553b75,"[0.0, 11.7448952397701, 11.8045440564407, 0.0, 13.7294275464778, 0.0, 31.5076633340039, 15.4328060162013, 0.0, 74.5914542292404, 0.0, 11.7448952397701]","[{'teammate': False, 'actor': False, 'keeper': False, 'location': [2.400000095367431, 18.100000381469727]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [3.607977829109359, 17.556029485572253]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [3.655066493864325, 37.279552447633776]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [8.147815384958548, 28.560813627531722]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [8.43652862621218, 21.667640390270556]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [9.400283844363457, 37.3012436924117]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [10.697782790247473, 34.062215568112]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [18.745831360791982, 26.071804505459106]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [23.169033138236443, 12.358839030039661]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [25.289722966551153, 17.76994039156712]}]"
4,,,,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,,,1cbb25b0-d48a-4f0b-a294-612b7b822ef2,2181,,"[62.1, 10.4]",3869685,57,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kylian Mbappé Lottin,3009.0,Center Forward,105,France,771,['e5669f42-fbf7-4e79-a990-c348a51d73b6'],24,,,,,,,,,,,,,,,,,France,771,00:12:24.495,Dribble,True,1cbb25b0-d48a-4f0b-a294-612b7b822ef2,"[34.7146339976005, 80.0, 47.7158838767629, 19.6061235535901, 72.5702987233188, 19.0754105888187, 88.4879928895528, 80.0, 34.7146339976005, 80.0]","[{'teammate': False, 'actor': False, 'keeper': False, 'location': [41.062954948292244, 59.683503371608836]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [42.412895170355625, 44.94266970744056]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [48.21030305262914, 45.5478570840797]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [48.79362870217231, 73.99548609979837]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [50.30676887881705, 22.33392420507529]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [51.11822127197749, 40.20192747005377]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [52.41458160014005, 80.85692728113145]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [52.909431392074694, 15.436412207283468]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [56.803370231368135, 39.176868320591794]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [58.0, 69.69999694824219]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [58.83442924957627, 69.86920935352259]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [60.724234561413375, 72.20701107043098]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [61.67841089819384, 66.68530689138177]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [63.887913462082565, 43.65840503079739]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [70.74240917876466, 74.3625733842985]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [73.2470838965721, 53.89405541875029]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [80.99848599001686, 65.64142611879973]}]"
5,,,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,3fc0174d-6640-47c3-a36c-b16e6ca28f6b,3326,,"[113.9, 21.5]",3869685,95,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kylian Mbappé Lottin,3009.0,Left Center Forward,187,France,771,['df979e5d-4ab9-435e-bff7-71a68634923d'],10,,,,,,,,,,,,,,,,,France,771,00:50:10.695,Dribble,True,3fc0174d-6640-47c3-a36c-b16e6ca28f6b,"[109.690078077822, 67.3379661831944, 85.4416571028909, 54.1256725391406, 104.23640724523, 0.0, 120.0, 0.0, 120.0, 55.0399291983382, 109.690078077822, 67.3379661831944]","[{'teammate': False, 'actor': False, 'keeper': False, 'location': [100.19909276442009, 40.675161643853954]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [103.64951312256925, 48.605199095945764]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [106.23199880813034, 31.507184359807326]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [109.09066329329964, 44.156143980155406]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [111.37089193386684, 23.761274308255977]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [112.55303073372296, 27.45288193734661]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [113.42135596357886, 19.989836564026078]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [113.9000015258789, 21.5]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [114.6220594527395, 19.749910545520567]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [118.26410633872001, 36.83336777163345]}]"
6,,,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,957d94b2-47ac-465f-90dd-9fcfea578d31,3776,,"[90.7, 23.3]",3869685,98,,,,,,,,,,,,,,,,,,,,,,,3,From Counter,Kylian Mbappé Lottin,3009.0,Left Center Forward,211,France,771,['75f654e9-04f9-4bc1-908b-c528fa03ff4a'],49,,,,,,,,,,,,,,,,,France,771,00:08:49.778,Dribble,True,957d94b2-47ac-465f-90dd-9fcfea578d31,"[73.526048007084, 80.0, 69.0234334603371, 8.58555633652816, 91.2521541792083, 0.0, 93.5979534612371, 0.0, 120.0, 40.9035876582401, 120.0, 80.0, 73.526048007084, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [76.01997395423305, 31.59594706633836]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [78.19316178957277, 27.415368282055873]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [78.53774243714517, 17.87513237757033]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [82.69786635960216, 55.55930104682779]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [86.46229027168393, 34.97493589409589]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [88.08379826539206, 20.9069568821267]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [90.69999694824219, 23.299999237060547]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [91.5116477684607, 29.043387497143577]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [91.52598293145869, 24.77495305301869]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [94.4884869048681, 5.982145706600015]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [97.51681698999475, 62.39931867132537]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [98.08468991695429, 41.367679553390765]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [98.15503083244508, 38.17606804777101]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [98.21516583713647, 53.84506405712854]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [98.94231912588639, 15.352576390964565]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [119.71611881644152, 41.62784472086229]}]"
7,,,,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,,,b64396b3-5c97-4979-a47c-b141777518a1,3779,,"[115.3, 22.8]",3869685,98,,,,,,,,,,,,,,,,,,,,,,,3,From Counter,Kylian Mbappé Lottin,3009.0,Left Center Forward,211,France,771,['2f7add8d-0e86-4054-8c23-20411b935300'],56,,,,,,,,,,,,,,,,,France,771,00:08:56.230,Dribble,True,b64396b3-5c97-4979-a47c-b141777518a1,"[13.3104238158717, 80.0, 0.0, 66.4583889235283, 0.0, 0.0, 7.46482695153091, 0.0, 35.4920622076881, 63.1951950250141, 14.1574243542351, 80.0, 13.3104238158717, 80.0]","[{'teammate': False, 'actor': False, 'keeper': True, 'location': [3.993778884585339, 44.79393751625676]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [4.574032450932677, 62.66742582076098]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [4.800000190734863, 57.29999923706055]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [5.769949745816248, 58.17848675520538]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [7.946922383294542, 59.29295880871423]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [8.780455346117662, 43.58047901618389]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [9.922534806994776, 34.90234343765183]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [10.186006812981603, 54.73900692888918]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [12.827330682382375, 42.558377177744006]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [14.501433953602827, 34.42350281401998]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [16.81322305275649, 76.38284956584346]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [17.06084711708783, 45.18783867311269]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [30.561889360315767, 59.751781097792154]}]"
8,,,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,ed6f0241-1c26-4d7f-a90c-ccb9519bb58b,4375,,"[113.9, 14.1]",3869685,123,,,,,,,,,,,,,,,,,,,,,,,4,From Goal Kick,Kylian Mbappé Lottin,3009.0,Left Center Forward,247,France,771,"['1c306156-2b76-426d-8b8c-f0711a4d1264', '2e457716-ac54-48e3-b946-57a6d1ebb737']",56,,,,,,,,,,,,,,,,,France,771,00:18:56.586,Dribble,True,,,
9,,,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,422f382b-2e44-4e3b-8f8e-281f8768995d,4379,,"[114.5, 19.0]",3869685,123,,,,,,,,,,,,,,,,,,,,,,,4,From Goal Kick,Kylian Mbappé Lottin,3009.0,Left Center Forward,247,France,771,"['31b4cf98-ccf1-40c2-92a6-c484fe0962b0', '74da3d57-1e85-4701-b825-5d5153ed3da9']",57,,,,,,,,,,,,,,,,,France,771,00:18:57.309,Dribble,True,422f382b-2e44-4e3b-8f8e-281f8768995d,"[106.580313943917, 69.0632378571868, 84.3943087775588, 56.8076919048505, 105.069855404396, 0.0, 120.0, 0.0, 120.0, 52.6957944476574, 106.580313943917, 69.0632378571868]","[{'teammate': False, 'actor': False, 'keeper': False, 'location': [100.85570187849238, 35.39500279099994]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [100.90375948680098, 25.616340139600226]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [107.10458784253763, 50.69359209532451]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [110.581098055386, 32.924797946241384]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [110.99309665626474, 46.75939264435095]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [112.34823883120448, 38.05690650172535]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [112.59774314658549, 18.61571373961171]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [112.86062359404936, 42.32709253832231]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [113.45349880248905, 43.20294902611968]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [113.50371083878252, 38.70947045129717]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [114.5, 19.0]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [114.77491765394373, 20.25783678684191]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [117.33213149073164, 38.01863180241568]}]"
