,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,event_uuid,visible_area,freeze_frame
0,,,,,,,,"[38.8, 46.8]",,,,,,,,,,,,,1.006413,,,,,,,,,,,,,,,5ba25b60-3df6-4eb0-bf65-25010601764f,164,,"[37.5, 45.1]",3869685,4,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Left Wing,13,France,771,"['befa4b3d-e0e2-4df1-99f8-15c2e45b3d9b', 'e0cd7a88-effa-4f19-bcf8-49e82880f000', 'f56df973-fcb8-48e2-ae52-6d3e0506d84a']",19,,,,,,,,,,,,,,,,,France,771,00:04:19.139,Carry,True,5ba25b60-3df6-4eb0-bf65-25010601764f,"[0.0, 80.0, 0.0, 64.469961663608, 29.115845066356, 7.67134615369656, 57.3556221537199, 15.2717726264781, 57.4461674689812, 80.0, 0.0, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [19.23283182619724, 53.166412491463845]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [19.85829116426558, 42.40783985175931]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [20.72413044695159, 28.875392516254948]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [21.49137498283278, 71.16033178268128]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [21.633431910082436, 54.444377941437146]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [22.13147330583746, 65.80904243885863]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [26.68412931032158, 52.36140686142605]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [29.578629227898503, 40.6935716778534]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [32.369764387108944, 73.12463901706582]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [34.844722407782996, 45.18036619416156]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [35.36606419800992, 72.35985579198828]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [36.110464853018925, 63.72915834669714]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [36.325659094624086, 20.88979250114157]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [37.5, 45.099998474121094]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [39.48531540741553, 65.49852628911353]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [40.27352527069874, 37.26666628957397]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [45.50473621582711, 60.4944380110165]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [48.06354931945431, 53.902666793091136]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [48.19176379573861, 70.93357739561958]}]"
1,,,,,,,,"[68.7, 5.9]",,,,,,,,,,,,,2.417842,,,,,,,,,,,,,,,e9d0b2c5-33af-4069-8a9b-f758d8e96fd0,212,,"[69.3, 5.3]",3869685,5,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Kylian Mbappé Lottin,3009.0,Left Wing,15,France,771,"['9d4dea62-303f-4c6e-be2f-517b743fa98a', 'e3811e3d-4af4-4043-ae6a-2cc4af03dd23']",1,,,,,,,,,,,,,,,,,France,771,00:05:01.571,Carry,,e9d0b2c5-33af-4069-8a9b-f758d8e96fd0,"[37.2709426413391, 80.0, 50.7385063201748, 4.58997995219784, 77.9177200823027, 1.20913588528985, 108.855449913197, 80.0, 37.2709426413391, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [44.995513776683225, 49.018559367462416]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [45.70539495904039, 35.99703128245008]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [50.11022173199032, 63.02514947573759]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [50.6927010397025, 26.743570862914183]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [53.126165594249514, 30.19958837259272]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [53.338792870749785, 41.40585951987634]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [58.20869294915004, 35.12939479303114]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [58.254098511507, 62.79506293005922]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [63.0571752999283, 10.210527240046645]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [68.61058078720656, 13.350850772877322]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [69.28798844246435, 44.94749057629255]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [69.30000305175781, 5.300000190734863]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [70.62424975988982, 28.28813444120445]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [70.8622799886828, 23.92834116732594]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [73.0971136251297, 7.776055768576654]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [77.44105379796156, 39.67127162779062]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [79.27968816768188, 64.82903876975521]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [81.25683978697752, 59.05167207593187]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [83.5763570574472, 25.10963395181483]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [83.67665959560485, 39.94226210203594]}]"
2,,,,,,,,"[99.1, 19.2]",,,,,,,,,,,,,4.694271,,,,,,,,,,,,,,,e9afd476-7735-4e7b-9e1c-ea2e578fc97e,458,,"[100.6, 14.3]",3869685,13,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Kylian Mbappé Lottin,3009.0,Left Wing,22,France,771,"['004ad96d-cc87-4ef3-9382-cb8c51228edc', 'a58e0380-cad1-4d26-92b6-aed516eedbfa']",2,,,,,,,,,,,,,,,,,France,771,00:13:02.628,Carry,,e9afd476-7735-4e7b-9e1c-ea2e578fc97e,"[98.6419498090069, 80.0, 78.0171887486366, 15.1740277979839, 100.888419741578, 1.92110677853786, 120.0, 26.0183403011705, 120.0, 80.0, 98.6419498090069, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [86.27010700838918, 38.33251028099872]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [96.53918607242286, 36.101053652429194]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [97.64803071070905, 14.788153289530229]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [99.3066695113225, 55.82963216121299]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [100.5999984741211, 14.300000190734863]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [100.67243048122052, 24.046520916222164]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [100.94406679857919, 48.22062535935176]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [101.63419955694792, 61.914205174319314]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [101.9809808447856, 18.917779513743483]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [104.07919913771404, 53.97092671445388]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [105.61253982870033, 42.12123646568663]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [106.20201851919957, 42.17441832444706]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [107.04057483762647, 36.86649826971875]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [117.25198689461735, 36.96000080378141]}]"
3,,,,,,,,"[81.8, 5.1]",,,,,,,,,,,,,1.423048,,,,,,,,,,,,,,,9e051769-414b-416a-b588-eab06b4e1868,627,,"[83.7, 4.9]",3869685,17,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Kylian Mbappé Lottin,3009.0,Left Wing,28,France,771,"['309fe67b-f8fe-4b73-8ee5-5870a4eac34d', '5d4df88f-df0c-41cd-a84c-a2487be78841', '6b875c43-7c4c-4b32-a723-379292e94943']",22,,,,,,,,,,,,,,,,,France,771,00:17:22.381,Carry,True,9e051769-414b-416a-b588-eab06b4e1868,"[58.4352620340888, 80.0, 58.4206224732911, 5.64557504827749, 74.985157047342, 0.0, 87.0227602183826, 0.0, 120.0, 53.474474309257, 120.0, 80.0, 58.4352620340888, 80.0]","[{'teammate': False, 'actor': False, 'keeper': False, 'location': [60.34216807765347, 31.92229986297515]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [63.89404733353621, 32.145215847277406]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [65.73946670114017, 63.14815092390476]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [66.98351528643909, 44.18942414117338]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [72.84411105936923, 31.428249197410253]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [73.07839819811313, 7.89155279924357]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [76.5569136404431, 57.32173765993254]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [80.49663442200085, 12.031915020125766]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [81.79497832945582, 48.32545059374999]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [83.69999694824219, 4.900000095367432]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [84.3138290304798, 35.17878443111741]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [84.65184128378944, 5.61944408005526]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [87.17930094707788, 64.60041264867668]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [88.51853006295808, 50.771695256024415]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [90.50193985147152, 33.15637359642892]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [92.70719691517439, 53.23621082763441]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [94.21924236018717, 37.04432653898003]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [94.62442640492563, 28.411721882675778]}]"
4,,,,,,,,"[105.9, 5.5]",,,,,,,,,,,,,5.346441,,,,,,,,,,,,,,,38177784-49b8-4b05-8662-af395e258d7c,795,,"[96.5, 5.1]",3869685,24,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,34,France,771,"['03f18c95-a3de-467a-99c2-7ca110d79fee', '9beb0fa7-66bb-420a-b1a1-c27029985bc5']",6,,,,,,,,,,,,,,,,,France,771,00:24:06.891,Carry,,38177784-49b8-4b05-8662-af395e258d7c,"[87.5395303869434, 80.0, 70.113005670178, 7.29962385643914, 83.1028811269504, 0.0, 99.1065379812936, 0.0, 120.0, 25.5271076295415, 120.0, 80.0, 87.5395303869434, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [78.30238469763059, 10.310490950624498]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [79.55315842518095, 16.05635944456425]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [85.80966278948122, 29.999004431646256]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [88.36280636927049, 51.93217202676417]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [95.42115467157512, 22.941555753154468]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [96.25540728588597, 9.813661770581021]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [96.5, 5.099999904632568]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [96.75605906097383, 8.3885398448772]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [97.01141628642448, 44.50515862903787]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [99.7025349829647, 8.49255097608743]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [101.1542793890457, 29.955156921537707]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [102.06027045364128, 56.89751484694966]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [103.2575277600236, 38.004460110330754]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [103.59486915486016, 53.31638561877516]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [103.8752353232517, 27.44876305310241]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [116.39592399583819, 42.210657468255505]}]"
5,,,,,,,,"[113.0, 10.4]",,,,,,,,,,,,,1.147752,,,,,,,,,,,,,,,187def11-7e4c-492a-874c-a5c96897bc94,1156,,"[110.8, 7.0]",3869685,35,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,51,France,771,"['5c853325-e83d-4ab9-a29a-50570b85843d', 'a358d304-f9ac-46eb-8893-78b8883e3e27', 'e33c1d27-f948-4f32-b69f-c8137650aa06']",3,,,,,,,,,,,,,,,,,France,771,00:35:03.101,Carry,True,187def11-7e4c-492a-874c-a5c96897bc94,"[102.500075565914, 80.0, 76.8975298526794, 3.84994487534113, 82.6578831623572, 0.0, 110.990627247411, 0.0, 120.0, 9.687977199143, 120.0, 80.0, 102.500075565914, 80.0]","[{'teammate': False, 'actor': False, 'keeper': False, 'location': [84.709648913769, 15.962387329220647]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [89.64627944714424, 35.66364840842183]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [90.76869763358512, 25.518281854429617]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [96.17313411934131, 16.07715106284317]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [98.73201450873901, 25.615619343313902]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [99.46490837190805, 11.973366242503374]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [100.364794281562, 2.624154254271673]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [100.36737620313029, 51.798952282109774]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [106.21050865192726, 34.23741703384403]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [106.21149121250028, 4.517183342771517]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [108.8029488780258, 32.828676066840345]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [110.31550786429311, 11.496867119968513]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [110.80000305175781, 7.0]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [119.67871612841141, 35.47550362714242]}]"
6,,,,,,,,"[66.8, 10.6]",,,,,,,,,,,,,3.445022,,,,,,,,,,,,,,,e52d7aa0-17bb-4d07-8d65-7627c946249a,1184,,"[56.7, 12.1]",3869685,36,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Left Wing,53,France,771,"['1e2d25b6-1f22-4a19-86fd-2bb69c2aba00', '277a4cb1-ff56-43f5-bf28-5aaffcfb6ee1', '8cbae9a1-c058-46cc-ba85-4fff23c6628c']",57,,,,,,,,,,,,,,,,,France,771,00:36:57.106,Carry,True,e52d7aa0-17bb-4d07-8d65-7627c946249a,"[17.9643878567191, 80.0, 44.1538406898809, 0.0, 72.4740629085934, 0.0, 99.9529963229208, 80.0, 17.9643878567191, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [36.896162222038946, 51.98432833523192]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [38.45474586227571, 31.306671960672162]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [45.195560702353184, 65.73476354045532]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [50.20502580971689, 12.344519446825714]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [51.549259522183085, 31.684676537181474]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [53.69039232331124, 43.834199422484105]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [56.63070541505419, 41.429363547533725]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [56.70000076293945, 12.100000381469727]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [57.86712017460578, 68.88611362563934]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [61.530925724368444, 27.803991455222878]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [63.818253427426804, 45.30370961281366]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [67.62573376484917, 25.15175741998332]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [67.77362853110108, 48.6003712784259]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [68.7153398797972, 17.975567519325494]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [68.92904186842154, 78.17311534598893]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [69.74161568100223, 40.600331397083735]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [73.11649112540306, 41.67484681648397]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [77.60428413981148, 60.00425899086851]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [79.18067532173279, 44.99480935415964]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [81.2739373813441, 33.25502506601445]}]"
7,,,,,,,,"[87.1, 10.4]",,,,,,,,,,,,,2.03244,,,,,,,,,,,,,,,98cec47e-1911-4093-a2c3-03f433e19722,1263,,"[87.3, 22.2]",3869685,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Left Wing,57,France,771,"['0e3b7d5c-17b8-43fa-b3e7-4d8b9791c898', '7aab2764-9b93-446a-8a65-da400c439584']",24,,,,,,,,,,,,,,,,,France,771,00:38:24.069,Carry,,98cec47e-1911-4093-a2c3-03f433e19722,"[70.8566410170963, 80.0, 66.8596636153901, 10.1819783197497, 90.7712590761249, 2.37954486697118, 120.0, 54.7929289155128, 120.0, 80.0, 70.8566410170963, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [68.990987233132, 37.895120386361896]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [70.04640691287902, 35.29233179415677]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [78.62248467271962, 47.59661178746025]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [81.43579107080639, 29.886696247444256]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [81.87576692655132, 28.716241848115665]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [83.00447321806843, 38.275684116205014]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [85.22019461958018, 57.50434210740382]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [86.56947498378445, 30.92717973948016]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [87.30000305175781, 22.200000762939453]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [89.03522204858835, 32.38416201463502]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [89.60652891402499, 58.716296327376796]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [91.18826864052953, 21.890340502374094]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [94.67969666387562, 32.40575138913621]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [94.96956814546724, 41.976451818016386]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [96.49712522215152, 42.97929237341828]}]"
8,,,,,,,,"[91.8, 4.7]",,,,,,,,,,,,,2.03484,,,,,,,,,,,,,,,c035d7e6-e586-458d-82e7-67abf672531c,1591,,"[87.1, 6.2]",3869685,46,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Center Forward,69,France,771,"['57b27565-e355-482c-8375-895003e627d3', 'c93061c1-24a3-4e59-93be-e8821ecb84eb']",25,,,,,,,,,,,,,,,,,France,771,00:46:25.021,Carry,,,,
9,,,,,,,,"[56.7, 3.1]",,,,,,,,,,,,,1.156284,,,,,,,,,,,,,,,2f1bd7d4-5c72-44f7-861b-0957d2d3608f,1931,,"[56.3, 3.4]",3869685,49,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kylian Mbappé Lottin,3009.0,Center Forward,91,France,771,"['087ef35e-52c6-4888-83e5-b08fae4b774c', '2a8aab74-c7eb-45cb-951b-e19af371f0a1', '4fe6f40a-c286-443c-9f26-3f5dacb28f31']",2,,,,,,,,,,,,,,,,,France,771,00:04:02.828,Carry,True,2f1bd7d4-5c72-44f7-861b-0957d2d3608f,"[44.8361293253523, 63.9774650511528, 25.7757424535359, 0.0, 81.1176485486831, 0.0, 69.7918440510607, 62.8197325402172, 44.8361293253523, 63.9774650511528]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [35.30491908710263, 15.889738166395844]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [39.73044537250027, 33.44232876690382]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [44.56679353943925, 32.03152592075647]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [47.38561203282245, 14.873950708747056]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [49.490598636137506, 56.26143762914138]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [51.34532136309514, 16.417489612688833]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [55.28201148311935, 20.77025777041033]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [56.29999923706055, 3.400000095367431]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [57.28920558363637, 11.218602784418664]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [59.7318606866403, 58.57183409959945]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [60.407971921594026, 34.73732223373703]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [64.5985566392796, 17.039699584406595]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [68.29018186223735, 7.051916298621982]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [70.66249597823217, 56.5439534789894]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [70.79500456707291, 8.999876015788786]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [73.41741902762237, 28.05103609846227]}]"
