,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0436bcd0-e185-48c4-a6a8-1e7bc61d1032,1,,,18244,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Juventus,224,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2711d47-5d90-4967-b531-5aa74ac03a20,2,,,18244,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Real Madrid,220,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7910a233-ec39-4332-9c39-f647bb837438,3,,,18244,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['5dfef236-0be2-4c92-a814-9f07c23418af'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
3,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5dfef236-0be2-4c92-a814-9f07c23418af,4,,,18244,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['7910a233-ec39-4332-9c39-f647bb837438'],0,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
4,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8c2563e5-b88a-49b5-b3e1-5bae5ad30ba0,1897,,,18244,45,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Real Madrid,220,['acabfb02-8490-4faa-965b-f761c059e73e'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
5,,,,,,,,,,,,,0.0,,,,,,,,,,,,,acabfb02-8490-4faa-965b-f761c059e73e,1898,,,18244,45,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Real Madrid,220,['8c2563e5-b88a-49b5-b3e1-5bae5ad30ba0'],0,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
6,,,,,,,,,,,,,1.673145,,,,,,,,,,,,,da4e9849-f967-420b-9f34-bb3ea489aa40,5,,"[61.0, 41.0]",18244,0,,,2.9340963,,,Left Foot,,,,"[42.0, 45.0]",,Ground Pass,19.416489,,Leonardo Bonucci,7173.0,,,Kick Off,1,From Kick Off,Paulo Bruno Exequiel Dybala,5743.0,Center Attacking Midfield,2,Juventus,224,['d3fd2d79-f315-48d6-a40e-d1a6a7402474'],1,,,,,,,,,,,,,,,,Juventus,224,00:00:01.235,Pass,
7,,,,,,,,,,,,,3.2236,,,,,,,,,,,,,a461e051-ae06-4374-a1af-ae503cb677f3,8,,"[43.0, 45.0]",18244,0,,,-0.6435011,,,Right Foot,,,,"[87.0, 12.0]",,High Pass,55.0,Incomplete,Mario Mandžukić,5472.0,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Right Center Back,2,Juventus,224,"['296a4673-bc52-46d9-a9bf-cb51ce14805b', 'da488ac9-f36e-44d8-ab6c-73ce130d49fd']",4,,,,,,,,,,,,,,,,Juventus,224,00:00:04.137,Pass,
8,,,,,,,,,,,,,0.839852,,,,,,,,,,,,,e642b081-b999-4ec9-8825-48c50b1e8231,11,,"[86.0, 1.0]",18244,0,,,2.4149504,,,,,,,"[77.0, 9.0]",,Low Pass,12.0415945,,Sami Khedira,5566.0,,,Throw-in,1,From Throw In,Alex Sandro Lobo Silva,6945.0,Left Back,3,Juventus,224,['4231bc6e-353a-4b30-b85f-3cccd720d26b'],17,,,,,,,,,,,,,,,,Juventus,224,00:00:17.055,Pass,
9,,,,,,,,,,,,,1.3672,,,,,,,,,,,,,76e27dd2-34f0-4e52-ae66-876cf0249de5,15,,"[78.0, 9.0]",18244,0,,,-0.071307465,,,Right Foot,,,,"[92.0, 8.0]",,High Pass,14.035668,Incomplete,Mario Mandžukić,5472.0,,,,1,From Throw In,Sami Khedira,5566.0,Left Defensive Midfield,3,Juventus,224,"['ca4c2391-7b43-44e2-9b37-a64e5243cc36', 'cb0a7bf8-cc46-428f-b364-8b4a706638f7', 'ce729b25-e55c-4b52-8a50-0c98bcb1dd44']",18,,,,,,,,,,,,,,,,Juventus,224,00:00:18.785,Pass,True
