,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,event_uuid,visible_area,freeze_frame
0,,,,,,,,,,,,,,,,,,,,,1.193247,,,,,,,,,,,,,,,f56df973-fcb8-48e2-ae52-6d3e0506d84a,166,,"[38.8, 46.8]",3869685,4,,,,-1.9607861,,Right Foot,,,"[32.1, 30.5]",,Ground Pass,,17.62328,,,Adrien Rabiot,3026.0,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Left Wing,13,France,771,"['e0cd7a88-effa-4f19-bcf8-49e82880f000', 'eee5c376-d13b-4067-a0dc-38a7a9fb4ff1']",20,,,,,,,,,,,,,,,,,France,771,00:04:20.145,Pass,True,f56df973-fcb8-48e2-ae52-6d3e0506d84a,"[0.0, 80.0, 0.0, 76.6390765366849, 31.8748641962029, 10.6527787287263, 60.0544925339525, 17.6806354321294, 61.1147225808217, 80.0, 0.0, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [23.496583180189035, 54.1665026183128]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [23.99087972485445, 42.74809684408603]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [25.50151256600448, 29.129354884579165]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [26.711107520132416, 69.89161660311947]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [26.776202943132418, 66.87576901397617]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [27.52400055559616, 53.89115543181027]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [30.176673065675686, 53.2213686022317]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [32.34911785162224, 40.65969664962069]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [38.79999923706055, 46.79999923706055]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [40.31405853991511, 70.31405781263442]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [40.49954711050292, 44.733288230772565]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [40.64687336744086, 42.949133436372385]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [41.72082028602418, 27.14390215492262]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [41.753057570824026, 60.16801917805669]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [42.438267193454166, 75.77810778395241]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [44.781361128884356, 64.41729192262164]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [51.901311083666585, 66.37926113212151]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [52.81972879239072, 61.07034471697528]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [55.20633254934938, 56.80089960840546]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [59.99274598325465, 44.16605883081163]}]"
1,,,,,,,,,,,,,,,,,,,,,1.551952,,,,,,,,,,,,,,,e3811e3d-4af4-4043-ae6a-2cc4af03dd23,213,,"[68.7, 5.9]",3869685,5,,,,2.8127162,,Right Foot,,,"[56.1, 10.2]",,Ground Pass,,13.313527,,,Theo Bernard François Hernández,6704.0,,,,,,1,From Keeper,Kylian Mbappé Lottin,3009.0,Left Wing,15,France,771,['959e1889-f166-4ee8-9aa3-45e24e11c15c'],3,,,,,,,,,,,,,,,,,France,771,00:05:03.989,Pass,,e3811e3d-4af4-4043-ae6a-2cc4af03dd23,"[37.8183594669651, 80.0, 52.8335947303895, 4.41328052698206, 80.1264844264287, 1.55698657595558, 110.280374035816, 80.0, 37.8183594669651, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [48.57628286691907, 44.69780871348601]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [49.57782723112861, 29.820914415765678]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [54.64400321590679, 62.4562206935243]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [55.41311505853099, 22.459088858644733]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [58.03080079598608, 38.34384794532474]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [60.18897171005523, 25.09772650478473]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [61.46202865976138, 9.22705496491649]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [63.76058974937802, 27.077437709800947]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [65.18881083909666, 59.00063934125083]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [68.69999694824219, 5.900000095367432]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [70.79373367079586, 11.935659157379263]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [71.00577726878244, 7.373337837349382]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [76.39368062208902, 40.941830330420686]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [79.16401387353443, 17.037582493744523]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [81.8651105245262, 12.842156701577082]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [83.93700375513325, 37.76220839149977]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [84.3316629253247, 64.43552238425708]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [85.45410222991572, 56.7639059501734]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [88.77303468104313, 37.56186061993988]}]"
2,,,,,,,,,,,,,,,,,,,,,0.91127,,,,,,,,,,,,,,,a58e0380-cad1-4d26-92b6-aed516eedbfa,459,,"[99.1, 19.2]",3869685,13,,,,1.5263811,,Right Foot,,,"[99.5, 28.2]",,Ground Pass,,9.008884,,,Adrien Rabiot,3026.0,,,,,,1,From Free Kick,Kylian Mbappé Lottin,3009.0,Left Wing,22,France,771,['9c017ca0-1cde-4d99-ab77-9e31ea41beb7'],7,,,,,,,,,,,,,,,,,France,771,00:13:07.323,Pass,,a58e0380-cad1-4d26-92b6-aed516eedbfa,"[96.0595054922246, 80.0, 76.7150454240708, 14.9314092906861, 100.398482940255, 1.46953935734561, 120.0, 25.9839697949389, 120.0, 80.0, 96.0595054922246, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [85.86138240696715, 31.824196574028036]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [94.62398905412033, 52.105094605991994]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [97.10798341743137, 23.844996997245197]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [97.6536918761309, 29.637201463406576]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [98.76300700664497, 39.10647648905413]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [99.0999984741211, 19.200000762939453]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [100.06325582215078, 19.867771804892577]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [103.84377985284713, 19.978631476518636]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [103.86626970594457, 37.13458637360413]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [106.60186857554046, 10.263957131550946]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [107.51594496217437, 32.0301213709158]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [108.11513314808036, 48.35963217622774]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [108.25993148953215, 49.642153094270974]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [108.3221286825679, 40.150752674786034]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [109.43363651805987, 42.15698715676951]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [117.03687703204878, 36.90028602671061]}]"
3,,,,,,,,,,,,,,,,,,,,,1.032098,,,,,,,,,,,,,,,309fe67b-f8fe-4b73-8ee5-5870a4eac34d,628,,"[81.8, 5.1]",3869685,17,,,,2.9427068,,Right Foot,,,"[68.9, 7.7]",,Ground Pass,,13.159408,,,Theo Bernard François Hernández,6704.0,,,,,,1,From Goal Kick,Kylian Mbappé Lottin,3009.0,Left Wing,28,France,771,"['48cb2f68-86cf-49b5-b4c9-c1faca529fa6', '5d4df88f-df0c-41cd-a84c-a2487be78841']",23,,,,,,,,,,,,,,,,,France,771,00:17:23.804,Pass,True,309fe67b-f8fe-4b73-8ee5-5870a4eac34d,"[57.9102241639588, 80.0, 60.9769965072948, 3.64690287179317, 74.2928602281086, 0.0, 88.6317992842631, 0.0, 120.0, 57.7974257828339, 120.0, 80.0, 57.9102241639588, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [60.024866027823386, 37.18303248864848]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [63.17724527985647, 22.313920875831514]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [65.78512091655328, 28.48940409036406]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [69.90331521112121, 59.68188363154632]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [71.21903572809573, 40.64852330434198]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [72.03010397172802, 26.261902429513817]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [74.17103630256977, 5.874887026578108]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [78.8121655236198, 29.01665640320799]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [81.39561474104285, 8.232639837212517]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [81.80000305175781, 5.099999904632568]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [81.94497705038026, 51.773511458662]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [83.44086895512054, 5.74327873407465]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [88.13123336500173, 45.72608662719055]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [90.05164504436442, 26.205467763794005]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [92.96287720055633, 59.239230630371125]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [93.59939945097935, 45.53153445444273]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [95.76742815870126, 27.865938804808593]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [96.81936914413792, 51.044073315727644]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [98.4380756135249, 23.38044585588934]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [99.27096545084494, 34.20561921075794]}]"
4,,,,,,,,,,,,,,,,,,,,,1.923262,,,,,,,,,,,,,,,bf211d84-bf4c-438a-98db-41960ae7157f,662,,"[86.7, 14.1]",3869685,18,,,,-0.35161865,,Right Foot,,,"[103.6, 7.9]",,Low Pass,,18.001389,,,Theo Bernard François Hernández,6704.0,,,,,,1,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,29,France,771,['54d01f59-a571-4bf5-880a-0a57f3b991eb'],8,,,,,,,,,,,,,,,,,France,771,00:18:08.882,Pass,,bf211d84-bf4c-438a-98db-41960ae7157f,"[71.0833201447995, 80.0, 66.1066724404542, 5.58617728189275, 80.5796193359186, 0.0, 93.6876217363878, 0.0, 120.0, 40.1880918384575, 120.0, 80.0, 71.0833201447995, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [71.69348507955304, 10.812877017029194]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [75.92477680189599, 29.932885544964307]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [78.14975487443562, 63.499045507786384]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [79.16691891103703, 48.15234852385872]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [81.70876915096856, 37.34396728102507]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [83.95305360263195, 23.697610773819008]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [86.69999694824219, 14.100000381469727]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [89.25198309913868, 15.16757292834528]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [90.4961856578392, 59.963127266101324]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [90.86224121623952, 5.958669768779856]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [90.90322284087024, 4.569197531524708]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [92.70048736509096, 26.456762801606274]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [96.57916378861536, 69.20782226697297]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [97.02928563714643, 60.418981624667694]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [98.06666647184478, 46.25692374787552]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [100.60397259190937, 52.08092046940903]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [102.27401230242621, 38.61766378500865]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [103.26433714242786, 38.28286593557637]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [103.69283861441293, 26.967748067543425]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [117.508584666855, 38.203420158627246]}]"
5,,,,,,,,,,,,,,,,,,,,,1.266308,,,,,,,,,,,,,,,7f0a6b5e-1792-414d-ae3a-1556369cd6fb,790,,"[98.0, 0.1]",3869685,24,,,,2.5150652,,,,,"[87.5, 7.7]",,Low Pass,,12.961867,,,Adrien Rabiot,3026.0,,,,,Throw-in,1,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,34,France,771,['87751f7d-4787-4690-a0d1-09d99a94dbd6'],3,,,,,,,,,,,,,,,,,France,771,00:24:03.362,Pass,,7f0a6b5e-1792-414d-ae3a-1556369cd6fb,"[86.1189331090981, 80.0, 67.4631893115989, 3.57375363839277, 73.4998068598819, 0.0, 102.993103889482, 0.0, 120.0, 19.6403713474415, 120.0, 80.0, 86.1189331090981, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [78.68820856588304, 6.350071594962543]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [88.7138144918015, 39.59104761325238]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [89.80475152194815, 14.759329216210688]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [90.94906344158635, 10.971721862953075]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [91.24855248009847, 15.20685270052536]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [97.79109652307646, 51.67237504837607]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [98.0, 0.10000000149011601]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [98.6287540924895, 49.256836137404186]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [99.47317659354593, 30.797763690604967]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [100.55348953846176, 20.15864416456698]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [101.73266274585906, 11.895923638549633]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [115.42597154322526, 37.545519105769486]}]"
6,,,,,,,,,,,,,,,,,,,,,1.747653,,,,,,,,,,,,,,,9beb0fa7-66bb-420a-b1a1-c27029985bc5,796,,"[105.9, 5.5]",3869685,24,,,,1.627504,,Left Foot,,,"[104.6, 28.4]",,Ground Pass,,22.93687,Incomplete,,,,,,,,,1,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,34,France,771,['f2bed2ec-d7a0-42e9-bd5f-71707c1543e6'],12,,,,,,,,,,,,,,,,,France,771,00:24:12.237,Pass,,,,
7,,,,,,,,,,,,,,,,,,,,,1.722678,,,,,,,,,,,,,,,8cbae9a1-c058-46cc-ba85-4fff23c6628c,1186,,"[66.8, 10.6]",3869685,37,,,,2.3975334,,Left Foot,,,"[45.4, 30.3]",,Ground Pass,,29.086939,,,Dayotchanculle Upamecano,8519.0,,,,,,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Left Wing,53,France,771,"['1e2d25b6-1f22-4a19-86fd-2bb69c2aba00', 'c5453568-c442-47f0-9a83-08608f4c5080']",0,,,,,,,,,,,,,,,,,France,771,00:37:00.551,Pass,True,8cbae9a1-c058-46cc-ba85-4fff23c6628c,"[32.6846515888995, 80.0, 51.0902636315487, 0.0, 82.932126130786, 0.0, 115.562378474845, 80.0, 32.6846515888995, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [44.042842820999, 43.83894802494992]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [47.67792578303778, 24.268377998833714]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [54.172923229625056, 59.99250634689668]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [58.66059945084696, 35.48831775225206]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [63.46320911956391, 23.699433210168863]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [64.47486842182647, 25.4623460460152]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [66.80000305175781, 10.600000381469727]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [67.97624646847379, 10.011940752439756]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [68.14222399402374, 51.4331845407437]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [69.15098423919943, 17.204389121048322]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [73.23411036836058, 1.254554773968692]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [73.34677580267058, 38.368029266327405]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [75.35013132596939, 39.43955530966366]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [78.25952562020657, 27.7438646210382]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [79.68811626134605, 6.526152590576473]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [83.39032194369886, 71.33094318964396]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [88.12253019748788, 54.35899294132885]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [90.57958961172899, 31.966460771001017]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [90.9669517515847, 25.41806182043115]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [91.42187159350999, 33.855000215248474]}]"
8,,,,,,,,,,,,,,,,,,,,,0.849546,,,,,,,,,,,,,,,7aab2764-9b93-446a-8a65-da400c439584,1264,,"[87.1, 10.4]",3869685,38,,,,0.9806796,,Left Foot,,,"[94.4, 21.3]",,Ground Pass,,13.118689,,,Adrien Rabiot,3026.0,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Left Wing,57,France,771,['47ee9524-fe84-4282-afb9-a42cad984586'],26,,,,,,,,,,,,,,,,,France,771,00:38:26.102,Pass,,7aab2764-9b93-446a-8a65-da400c439584,"[82.8761637525167, 80.0, 69.4813611260303, 6.33134383042853, 83.528091881715, 0.0, 95.6311896217695, 0.0, 120.0, 35.0007812419561, 120.0, 80.0, 82.8761637525167, 80.0]","[{'teammate': False, 'actor': False, 'keeper': False, 'location': [75.44890363670888, 26.525233230418934]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [82.74467486154776, 20.398298022749117]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [84.6858978695963, 42.007928038086945]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [87.0999984741211, 10.399999618530273]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [87.309779604541, 13.435327974215326]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [87.50234269604789, 20.564642990282152]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [90.2669816063495, 13.002253350349804]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [92.80417632232506, 50.81128399611852]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [94.01680529476094, 23.20808190083593]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [95.25658603611096, 33.41667679413596]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [95.45478847486405, 30.918345678786267]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [96.53176389577206, 50.378139472178276]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [97.50177357116368, 23.745135179936057]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [98.03455909900643, 33.47866308149786]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [116.09879314519719, 34.27839188960519]}]"
9,,,,,,,,,,,,,,,,,,,,,0.62423,,,,,,,,,,,,,,,57b27565-e355-482c-8375-895003e627d3,1592,,"[91.8, 4.7]",3869685,46,,,,0.66541,,Right Foot,,,"[99.7, 10.9]",,Ground Pass,,10.04241,,,Marcus Thuram,2972.0,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Center Forward,69,France,771,['70e26d97-720b-4f7e-b385-c3f076efe81b'],27,,,,,,,,,,,,,,,,,France,771,00:46:27.056,Pass,,57b27565-e355-482c-8375-895003e627d3,"[88.2639497088527, 80.0, 70.9022431463213, 5.60379960569972, 81.8375174352864, 0.0, 97.0091447649631, 0.0, 120.0, 30.728141487301, 120.0, 80.0, 88.2639497088527, 80.0]","[{'teammate': True, 'actor': False, 'keeper': False, 'location': [73.11078925999094, 14.876100874662086]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [80.24323225816346, 22.24340024699051]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [86.33054547266516, 32.32187358953776]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [91.61590014457605, 26.268473130100546]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [91.80000305175781, 4.699999809265137]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [92.14749859316423, 10.22258712163439]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [93.72778232651615, 28.70981117932284]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [96.61097443142614, 14.747173596865466]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [97.12795142683558, 46.627286526492995]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [97.38800746108853, 46.07464539978524]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [98.68245805003431, 11.751647126960776]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [100.23754824852807, 21.043340396448507]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [100.9012554012072, 38.088270787281274]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [117.97248295364221, 39.92427601999307]}]"
